Follower Athlete ID,Follow Status,Created At
3226078,Accepted,"28 Jul 2014, 13:43:43"
9236935,Accepted,"5 Jul 2016, 22:45:25"
17229911,Accepted,"29 Aug 2016, 15:06:31"
14665749,Accepted,"6 Dec 2016, 11:57:49"
14665749,Accepted,"6 Dec 2016, 11:57:49"
17861090,Accepted,"10 Jan 2017, 21:14:49"
11053084,Accepted,"11 Jan 2017, 18:17:11"
11708816,Accepted,"25 Feb 2017, 18:15:09"
19666962,Accepted,"9 Apr 2017, 09:56:23"
11602707,Accepted,"25 May 2017, 16:28:24"
10682369,Accepted,"28 Jun 2017, 08:45:38"
4024511,Accepted,"3 Jul 2017, 19:20:57"
23301250,Accepted,"12 Jul 2017, 15:50:12"
11282073,Accepted,"8 Oct 2017, 09:40:42"
25052823,Accepted,"9 Oct 2017, 08:45:06"
763659,Accepted,"22 Jan 2018, 21:56:14"
28325390,Accepted,"16 Feb 2018, 21:41:19"
19082695,Accepted,"23 Feb 2018, 08:55:46"
22632528,Accepted,"14 Apr 2018, 21:52:01"
29901490,Accepted,"17 Apr 2018, 19:55:04"
30571438,Accepted,"10 May 2018, 17:35:38"
31308904,Accepted,"29 May 2018, 17:31:47"
32475631,Accepted,"7 Jul 2018, 08:03:23"
14294580,Accepted,"9 Aug 2018, 16:27:49"
35272715,Accepted,"29 Sep 2018, 07:09:43"
38880922,Accepted,"31 Jan 2019, 18:28:49"
46354721,Accepted,"10 Sep 2019, 16:06:42"
47897253,Accepted,"1 Nov 2019, 10:23:25"
47783507,Accepted,"7 Nov 2019, 20:08:18"
42675372,Accepted,"18 Dec 2019, 12:43:57"
50422708,Accepted,"2 Feb 2020, 15:59:27"
52425289,Accepted,"22 Mar 2020, 00:35:17"
52709691,Accepted,"26 Mar 2020, 07:33:49"
24797159,Accepted,"26 Mar 2020, 17:28:26"
50630206,Accepted,"3 Apr 2020, 08:03:36"
30912731,Accepted,"3 Apr 2020, 19:20:48"
6200316,Accepted,"11 Apr 2020, 10:57:30"
53293534,Accepted,"13 Apr 2020, 19:18:03"
54476662,Accepted,"14 Apr 2020, 12:36:47"
54530839,Accepted,"14 Apr 2020, 16:36:15"
52577961,Accepted,"3 May 2020, 08:53:05"
53382942,Accepted,"6 May 2020, 09:17:47"
16542627,Accepted,"10 May 2020, 11:50:24"
57367729,Accepted,"28 May 2020, 10:53:17"
42367688,Accepted,"22 Jun 2020, 18:13:40"
34323126,Accepted,"24 Jun 2020, 07:59:15"
13917351,Accepted,"30 Jun 2020, 22:25:56"
61899127,Accepted,"11 Jul 2020, 10:28:42"
11679262,Accepted,"30 Sep 2020, 14:07:00"
