Following Athlete ID,Follow Status,Created At
858369,Accepted,"28 Jul 2014, 13:41:18"
3226078,Accepted,"28 Jul 2014, 13:44:12"
1492001,Accepted,"28 Jul 2014, 15:13:56"
11708816,Accepted,"25 Jun 2016, 18:47:04"
2705802,Accepted,"25 Jun 2016, 18:47:05"
3924238,Accepted,"25 Jun 2016, 18:47:08"
9306660,Accepted,"25 Jun 2016, 18:47:09"
9236935,Accepted,"25 Jun 2016, 18:47:14"
14888445,Accepted,"25 Jun 2016, 18:47:16"
6999506,Accepted,"25 Jun 2016, 18:47:19"
9993267,Accepted,"25 Jun 2016, 18:47:21"
493678,Accepted,"25 Jun 2016, 18:47:27"
14665749,Accepted,"14 Dec 2016, 08:46:33"
18273170,Accepted,"5 Jan 2017, 21:12:34"
8628366,Accepted,"5 Jan 2017, 21:12:34"
8440718,Accepted,"5 Jan 2017, 21:12:34"
13917351,Accepted,"5 Jan 2017, 21:12:34"
17229911,Accepted,"5 Jan 2017, 21:12:34"
8039634,Accepted,"5 Jan 2017, 21:12:35"
19082695,Accepted,"5 Jan 2017, 21:12:35"
11053084,Accepted,"5 Jan 2017, 21:12:35"
6585228,Accepted,"5 Jan 2017, 21:12:35"
16877718,Accepted,"5 Jan 2017, 21:12:35"
17059062,Accepted,"5 Jan 2017, 21:12:35"
9616973,Accepted,"5 Jan 2017, 21:12:35"
699706,Accepted,"5 Jan 2017, 21:12:35"
14997144,Accepted,"6 Jan 2017, 23:46:39"
17861090,Accepted,"6 Jan 2017, 23:47:23"
6422882,Accepted,"6 Jan 2017, 23:47:27"
763659,Accepted,"10 Jan 2017, 23:48:07"
13941064,Accepted,"10 Jan 2017, 23:48:47"
1933007,Accepted,"25 May 2017, 16:01:04"
7345979,Accepted,"25 May 2017, 16:15:18"
11602707,Accepted,"25 May 2017, 16:15:21"
23301250,Accepted,"14 Aug 2017, 22:47:18"
6200316,Accepted,"21 Apr 2018, 06:55:24"
30912731,Accepted,"3 Apr 2020, 19:31:25"
29901490,Accepted,"3 Apr 2020, 19:31:31"
30571438,Accepted,"3 Apr 2020, 19:31:38"
25052823,Accepted,"3 Apr 2020, 19:31:43"
52709691,Accepted,"3 Apr 2020, 19:31:45"
24797159,Accepted,"3 Apr 2020, 19:31:47"
53293534,Accepted,"3 Apr 2020, 19:36:14"
50422708,Accepted,"10 May 2020, 10:36:14"
16542627,Accepted,"10 May 2020, 10:36:15"
34323126,Accepted,"10 May 2020, 10:36:16"
55631877,Accepted,"10 May 2020, 10:36:22"
12085693,Accepted,"28 Jul 2020, 07:06:18"
22858772,Accepted,"28 Jul 2020, 07:06:20"
39226232,Accepted,"28 Jul 2020, 07:06:21"
33735939,Accepted,"28 Jul 2020, 07:06:26"
33185322,Accepted,"28 Jul 2020, 18:25:08"
18752844,Accepted,"27 Aug 2020, 20:42:10"
42367688,Accepted,"29 Sep 2020, 10:25:42"
11679262,Accepted,"30 Sep 2020, 13:32:42"
52577961,Accepted,"6 Nov 2020, 13:28:09"
31415380,Accepted,"6 Nov 2020, 13:28:15"
